time,value
2024-07-29T05:43:54.40011948Z,53
2024-07-29T05:43:55.43438407Z,35
2024-07-29T05:43:56.45822468Z,22
2024-07-29T05:43:57.580566156Z,45
2024-07-29T05:43:58.60037372Z,18
2024-07-29T05:43:59.620254123Z,5
2024-07-29T05:44:00.650584368Z,6
2024-07-29T05:44:01.670340604Z,11
2024-07-29T05:44:02.708197934Z,3
2024-07-29T05:44:03.721225164Z,10
2024-07-29T05:44:04.750359066Z,6
2024-07-29T05:44:05.770324951Z,4
2024-07-29T05:44:06.902300044Z,26
2024-07-29T05:44:07.820491199Z,59
2024-07-29T05:44:08.840198294Z,48
2024-07-29T05:44:14.06918459Z,91
2024-07-29T05:44:15.090575188Z,49
2024-07-29T05:44:16.2100524Z,48
2024-07-29T05:44:17.130406273Z,53
2024-07-29T05:44:18.160650585Z,51
2024-07-29T05:44:19.190160949Z,29
2024-07-29T05:44:20.21066127Z,26
2024-07-29T05:44:22.25017587Z,25
2024-07-29T05:44:23.310280689Z,26
2024-07-29T05:44:27.370449366Z,28
2024-07-29T05:44:28.508478548Z,26
2024-07-29T05:44:29.630903145Z,28
2024-07-29T05:44:30.512367399Z,25
2024-07-29T05:44:32.690194073Z,29
2024-07-29T05:44:33.620474965Z,27
2024-07-29T05:44:34.650377196Z,29
2024-07-29T05:44:35.678260376Z,53
2024-07-29T05:44:36.900302985Z,55
2024-07-29T05:44:37.720213684Z,57
2024-07-29T05:44:38.750142514Z,46
2024-07-29T05:44:39.810140197Z,47
2024-07-29T05:44:40.790546357Z,55
2024-07-29T05:44:41.820124007Z,46
2024-07-29T05:44:48.061226623Z,35
2024-07-29T05:44:49.190665075Z,29
2024-07-29T05:44:50.110054398Z,28
2024-07-29T05:44:51.130580425Z,29
2024-07-29T05:44:52.15152342Z,27
2024-07-29T05:44:55.270169246Z,26
2024-07-29T05:44:57.280108259Z,53
2024-07-29T05:44:58.300190559Z,48
2024-07-29T05:45:00.450178484Z,49
2024-07-29T05:45:01.468143821Z,48
2024-07-29T05:45:02.490171052Z,55
2024-07-29T05:45:03.530138426Z,50
2024-07-29T05:45:04.550120233Z,54
2024-07-29T05:45:05.561751944Z,51
2024-07-29T05:45:06.590374767Z,54
2024-07-29T05:45:07.720050211Z,55
2024-07-29T05:45:08.640069473Z,52
2024-07-29T05:45:09.671963473Z,53
2024-07-29T05:45:10.79136846Z,50
2024-07-29T05:45:11.720269346Z,55
2024-07-29T05:45:12.740583255Z,54
2024-07-29T05:45:13.850256473Z,55
2024-07-29T05:45:15.910579122Z,54
2024-07-29T05:45:17.950272709Z,137
2024-07-29T05:45:18.990372277Z,53
2024-07-29T05:45:20.110057063Z,55
2024-07-29T05:45:21.030099836Z,53
2024-07-29T05:45:22.060476071Z,58
2024-07-29T05:45:23.080293756Z,62
2024-07-29T05:45:24.310451019Z,17
2024-07-29T05:45:25.230088895Z,27
2024-07-29T05:45:26.259870017Z,36
2024-07-29T05:45:27.28022442Z,39
2024-07-29T05:45:28.357225463Z,38
2024-07-29T05:45:29.801330082Z,29
2024-07-29T05:45:30.15026672Z,55
2024-07-29T05:45:31.397408751Z,36
2024-07-29T05:45:33.410410706Z,49
2024-07-29T05:45:34.434371828Z,51
2024-07-29T05:45:35.465237706Z,50
2024-07-29T05:45:38.640246409Z,55
2024-07-29T05:45:41.720606761Z,792
2024-07-29T05:45:42.850422596Z,50
2024-07-29T05:45:44.784232492Z,48
2024-07-29T05:45:45.92021396Z,47
2024-07-29T05:45:46.940288543Z,48
2024-07-29T05:45:47.97021456Z,49
2024-07-29T05:45:48.980424282Z,23
2024-07-29T05:45:51.040163022Z,19
2024-07-29T05:45:52.06065004Z,18
2024-07-29T05:45:53.090164527Z,21
2024-07-29T05:45:54.110405511Z,28
2024-07-29T05:45:55.130219979Z,26
2024-07-29T05:45:57.211092528Z,28
2024-07-29T05:45:58.201348198Z,48
2024-07-29T05:45:59.330320512Z,791
2024-07-29T05:46:00.360268362Z,790
2024-07-29T05:46:01.470180258Z,42
2024-07-29T05:46:03.53032007Z,43
2024-07-29T05:46:04.540209284Z,46
2024-07-29T05:46:07.730297807Z,43
2024-07-29T05:46:07.732315738Z,42
2024-07-29T05:46:08.737113245Z,43
2024-07-29T05:46:10.800315559Z,42
2024-07-29T05:46:11.720243087Z,55
2024-07-29T05:46:12.73717042Z,42
2024-07-29T05:46:13.770297579Z,43
2024-07-29T05:46:14.790165839Z,42
2024-07-29T05:46:16.950298523Z,43
2024-07-29T05:46:17.970768059Z,49
2024-07-29T05:46:19.200526296Z,29
2024-07-29T05:46:23.140481335Z,37
2024-07-29T05:46:24.110339699Z,35
2024-07-29T05:46:25.140753697Z,50
2024-07-29T05:46:26.158380312Z,12
2024-07-29T05:46:28.200230498Z,17
2024-07-29T05:46:29.226762725Z,45
2024-07-29T05:46:30.250636888Z,19
2024-07-29T05:46:31.274498949Z,33
2024-07-29T05:46:32.50154321Z,32
2024-07-29T05:46:33.507308043Z,29
2024-07-29T05:46:34.571292512Z,35
2024-07-29T05:46:36.614409804Z,792
2024-07-29T05:46:37.519529104Z,15
2024-07-29T05:46:38.723921468Z,791
2024-07-29T05:46:40.864378266Z,792
2024-07-29T05:46:41.820468458Z,791
2024-07-29T05:46:43.059942201Z,8
2024-07-29T05:46:44.046271584Z,7
2024-07-29T05:46:46.959459774Z,9
2024-07-29T05:46:49.257372597Z,7
2024-07-29T05:46:52.159751706Z,6
2024-07-29T05:46:53.180135088Z,8
2024-07-29T05:46:54.451368749Z,6
2024-07-29T05:46:55.259689648Z,7
2024-07-29T05:46:56.46226763Z,791
2024-07-29T05:46:58.513612355Z,16
2024-07-29T05:46:59.432242185Z,5
2024-07-29T05:47:00.460167877Z,16
2024-07-29T05:47:01.491004195Z,5
2024-07-29T05:47:02.510296672Z,7
2024-07-29T05:47:06.610627908Z,6
2024-07-29T05:47:09.780412413Z,7
2024-07-29T05:47:10.699998618Z,6
2024-07-29T05:47:11.830278557Z,16
2024-07-29T05:47:12.847553272Z,791
2024-07-29T05:47:14.022352958Z,22
2024-07-29T05:47:14.889955449Z,9
2024-07-29T05:47:16.031348959Z,791
2024-07-29T05:47:17.050292609Z,7
2024-07-29T05:47:19.100435809Z,9
2024-07-29T05:47:20.120233882Z,7
2024-07-29T05:47:23.290155257Z,8
2024-07-29T05:47:24.220224167Z,9
2024-07-29T05:47:25.34828564Z,791
2024-07-29T05:47:26.37079357Z,7
2024-07-29T05:47:27.500204594Z,791
2024-07-29T05:47:29.550449206Z,8
2024-07-29T05:47:30.520792099Z,791
2024-07-29T05:47:32.73039068Z,8
2024-07-29T05:47:33.740317789Z,791
2024-07-29T05:47:35.890194311Z,792
2024-07-29T05:47:37.015360547Z,791
2024-07-29T05:47:39.160617839Z,792
2024-07-29T05:47:41.324213321Z,8
2024-07-29T05:47:44.597080502Z,792
2024-07-29T05:47:45.227570971Z,791
2024-07-29T05:47:46.640281855Z,792
2024-07-29T05:47:47.670535313Z,791
