Gyro_X,Gyro_Y,Gyro_Z,Timestamp
0.24, 0.49, 0.55,2024-08-13 16:09:06
0.55, 0.79, 0.61,2024-08-13 16:09:07
0.61, 0.92, 0.55,2024-08-13 16:09:08
-0.06, 0.24, 0.55,2024-08-13 16:09:09
0.55, 0.55, 0.55,2024-08-13 16:09:10
2.14, 2.38, 0.55,2024-08-13 16:09:11
0.24, 0.49, 0.61,2024-08-13 16:09:12
0.55, 0.37, 0.55,2024-08-13 16:09:13
0.37, 0.61, 0.55,2024-08-13 16:09:14
0.31, 0.49, 0.55,2024-08-13 16:09:15
0.49, 0.61, 0.61,2024-08-13 16:09:16
0.24, 0.49, 0.49,2024-08-13 16:09:17
0.55, 0.79, 0.55,2024-08-13 16:09:18
0.24, 0.49, 0.55,2024-08-13 16:09:19
0.24, 0.37, 0.55,2024-08-13 16:09:20
0.43, 0.49, 0.61,2024-08-13 16:09:21
0.37, 0.49, 0.55,2024-08-13 16:09:22
0.31, 0.49, 0.55,2024-08-13 16:09:23
0.43, 0.73, 0.55,2024-08-13 16:09:24
0.49, 0.55, 0.55,2024-08-13 16:09:25
0.00, 0.49, 0.55,2024-08-13 16:09:26
0.37, 0.49, 0.61,2024-08-13 16:09:27
0.12, 0.61, 0.49,2024-08-13 16:09:28
0.43, 0.55, 0.55,2024-08-13 16:09:29
0.37, 0.55, 0.61,2024-08-13 16:09:30
0.31, 0.49, 0.55,2024-08-13 16:09:31
0.24, 0.61, 0.55,2024-08-13 16:09:32
0.18, 0.49, 0.61,2024-08-13 16:09:33
0.55, 0.61, 0.55,2024-08-13 16:09:34
-0.85, -0.12, 0.55,2024-08-13 16:09:35
0.00, 0.31, 0.55,2024-08-13 16:09:36
0.31, 0.55, 0.55,2024-08-13 16:09:37
0.24, 0.49, 0.61,2024-08-13 16:09:38
0.24, 0.31, 0.55,2024-08-13 16:09:39
0.49, 0.61, 0.55,2024-08-13 16:09:40
0.43, 0.43, 0.55,2024-08-13 16:09:41
0.67, 0.73, 0.55,2024-08-13 16:09:42
0.24, 0.49, 0.55,2024-08-13 16:09:43
0.06, 0.37, 0.61,2024-08-13 16:09:44
0.12, 0.31, 0.55,2024-08-13 16:09:45
0.37, 0.55, 0.55,2024-08-13 16:09:46
0.31, 0.49, 0.55,2024-08-13 16:09:47
0.31, 0.49, 0.55,2024-08-13 16:09:48
0.37, 0.55, 0.61,2024-08-13 16:09:49
0.49, 0.85, 0.55,2024-08-13 16:09:50
-0.43, 0.18, 0.61,2024-08-13 16:09:51
0.24, 0.49, 0.55,2024-08-13 16:09:52
0.31, 0.55, 0.55,2024-08-13 16:09:53
0.24, 0.49, 0.55,2024-08-13 16:09:54
0.49, 0.55, 0.55,2024-08-13 16:09:55
0.24, 0.49, 0.55,2024-08-13 16:09:56
0.49, 1.53, 0.49,2024-08-13 16:09:57
0.24, 0.49, 0.61,2024-08-13 16:09:58
0.31, 0.49, 0.61,2024-08-13 16:09:59
0.55, 0.55, 0.55,2024-08-13 16:10:00
0.73, 0.79, 0.49,2024-08-13 16:10:01
0.12, 0.55, 0.61,2024-08-13 16:10:02
0.31, 0.49, 0.55,2024-08-13 16:10:03
0.24, 0.49, 0.61,2024-08-13 16:10:04
0.37, 0.49, 0.55,2024-08-13 16:10:05
0.31, 0.55, 0.55,2024-08-13 16:10:06
0.31, 0.55, 0.55,2024-08-13 16:10:07
0.37, 0.55, 0.55,2024-08-13 16:10:08
0.37, 0.49, 0.61,2024-08-13 16:10:09
0.18, 0.55, 0.55,2024-08-13 16:10:10
0.37, 0.55, 0.55,2024-08-13 16:10:11
0.31, 0.49, 0.55,2024-08-13 16:10:12
0.31, 0.61, 0.55,2024-08-13 16:10:13
0.31, 0.49, 0.55,2024-08-13 16:10:14
0.24, 0.49, 0.55,2024-08-13 16:10:15
0.31, 0.55, 0.55,2024-08-13 16:10:16
0.31, 0.55, 0.55,2024-08-13 16:10:17
0.31, 0.55, 0.55,2024-08-13 16:10:18
0.31, 0.49, 0.55,2024-08-13 16:10:19
0.12, 0.55, 0.55,2024-08-13 16:10:20
0.31, 0.49, 0.61,2024-08-13 16:10:21
0.31, 0.55, 0.55,2024-08-13 16:10:22
0.31, 0.55, 0.55,2024-08-13 16:10:23
0.24, 0.49, 0.55,2024-08-13 16:10:24
0.37, 0.55, 0.55,2024-08-13 16:10:25
0.31, 0.55, 0.61,2024-08-13 16:10:26
0.24, 0.49, 0.55,2024-08-13 16:10:27
0.31, 0.49, 0.55,2024-08-13 16:10:28
0.24, 0.55, 0.55,2024-08-13 16:10:29
0.31, 0.55, 0.55,2024-08-13 16:10:30
0.31, 0.49, 0.55,2024-08-13 16:10:31
0.31, 0.55, 0.55,2024-08-13 16:10:32
0.31, 0.55, 0.55,2024-08-13 16:10:33
0.31, 0.55, 0.61,2024-08-13 16:10:34
0.24, 0.43, 0.55,2024-08-13 16:10:35
0.37, 0.55, 0.55,2024-08-13 16:10:36
0.31, 0.49, 0.55,2024-08-13 16:10:37
0.24, 0.49, 0.55,2024-08-13 16:10:38
0.37, 0.55, 0.55,2024-08-13 16:10:39
0.31, 0.55, 0.55,2024-08-13 16:10:40
0.31, 0.55, 0.55,2024-08-13 16:10:41
0.24, 0.49, 0.55,2024-08-13 16:10:42
0.31, 0.55, 0.55,2024-08-13 16:10:43
0.31, 0.55, 0.55,2024-08-13 16:10:44
0.31, 0.49, 0.61,2024-08-13 16:10:45
0.31, 0.49, 0.55,2024-08-13 16:10:46
0.24, 0.49, 0.55,2024-08-13 16:10:47
0.31, 0.49, 0.55,2024-08-13 16:10:48
0.24, 0.49, 0.55,2024-08-13 16:10:49
0.24, 0.49, 0.55,2024-08-13 16:10:50
-0.24, 0.24, 0.61,2024-08-13 16:10:51
0.31, 0.55, 0.55,2024-08-13 16:10:52
0.24, 0.55, 0.55,2024-08-13 16:10:53
0.31, 0.49, 0.55,2024-08-13 16:10:54
0.31, 0.55, 0.61,2024-08-13 16:10:55
0.31, 0.55, 0.55,2024-08-13 16:10:56
0.31, 0.49, 0.55,2024-08-13 16:10:57
0.31, 0.55, 0.55,2024-08-13 16:10:58
0.31, 0.49, 0.55,2024-08-13 16:10:59
0.24, 0.55, 0.55,2024-08-13 16:11:00
0.24, 0.49, 0.55,2024-08-13 16:11:01
0.24, 0.55, 0.55,2024-08-13 16:11:02
0.24, 0.55, 0.55,2024-08-13 16:11:03
0.31, 0.55, 0.55,2024-08-13 16:11:04
0.24, 0.55, 0.55,2024-08-13 16:11:05
0.31, 0.55, 0.55,2024-08-13 16:11:06
0.31, 0.49, 0.55,2024-08-13 16:11:07
0.31, 0.49, 0.55,2024-08-13 16:11:08
0.31, 0.55, 0.55,2024-08-13 16:11:09
0.37, 0.55, 0.55,2024-08-13 16:11:10
0.31, 0.49, 0.61,2024-08-13 16:11:11
0.24, 0.55, 0.55,2024-08-13 16:11:12
0.31, 0.49, 0.55,2024-08-13 16:11:13
0.49, 0.61, 0.55,2024-08-13 16:11:14
0.24, 0.49, 0.55,2024-08-13 16:11:15
-0.24, 0.06, 0.49,2024-08-13 16:11:16
0.24, 0.43, 0.55,2024-08-13 16:11:17
0.37, 0.55, 0.61,2024-08-13 16:11:18
0.31, 0.61, 0.55,2024-08-13 16:11:19
0.18, 0.49, 0.55,2024-08-13 16:11:20
-0.18, 0.18, 0.61,2024-08-13 16:11:21
0.18, 0.31, 0.61,2024-08-13 16:11:22
0.31, 0.55, 0.61,2024-08-13 16:11:23
1.34, 1.04, 0.49,2024-08-13 16:11:24
0.43, 0.61, 0.55,2024-08-13 16:11:25
0.61, 0.92, 0.55,2024-08-13 16:11:26
0.43, 0.61, 0.55,2024-08-13 16:11:27
0.67, 0.67, 0.55,2024-08-13 16:11:28
0.67, 0.49, 0.61,2024-08-13 16:11:29
0.12, 0.37, 0.55,2024-08-13 16:11:30
-0.24, 0.12, 0.61,2024-08-13 16:11:31
0.49, 0.67, 0.55,2024-08-13 16:11:32
-0.06, 0.31, 0.61,2024-08-13 16:11:33
0.24, 0.55, 0.55,2024-08-13 16:11:34
0.00, 0.37, 0.55,2024-08-13 16:11:35
0.31, 0.55, 0.55,2024-08-13 16:11:36
0.73, 1.22, 0.55,2024-08-13 16:11:37
0.31, 0.49, 0.55,2024-08-13 16:11:38
0.00, 0.37, 0.61,2024-08-13 16:11:39
0.43, 0.43, 0.55,2024-08-13 16:11:40
0.61, 0.67, 0.55,2024-08-13 16:11:41
0.43, 0.67, 0.55,2024-08-13 16:11:42
2.01, 1.22, 0.49,2024-08-13 16:11:43
0.18, 0.55, 0.55,2024-08-13 16:11:44
0.49, 0.73, 0.55,2024-08-13 16:11:45
0.31, 0.49, 0.61,2024-08-13 16:11:46
0.31, 0.49, 0.55,2024-08-13 16:11:47
0.24, 0.43, 0.55,2024-08-13 16:11:48
0.31, 0.49, 0.61,2024-08-13 16:11:50
0.31, 0.49, 0.55,2024-08-13 16:11:51
0.37, 0.55, 0.55,2024-08-13 16:11:52
0.31, 0.55, 0.55,2024-08-13 16:11:53
0.31, 0.55, 0.55,2024-08-13 16:11:54
0.31, 0.49, 0.55,2024-08-13 16:11:55
0.31, 0.49, 0.55,2024-08-13 16:11:56
0.31, 0.49, 0.55,2024-08-13 16:11:57
0.24, 0.49, 0.55,2024-08-13 16:11:58
0.24, 0.49, 0.55,2024-08-13 16:11:59
0.31, 0.49, 0.55,2024-08-13 16:12:00
0.31, 0.55, 0.55,2024-08-13 16:12:01
0.31, 0.49, 0.55,2024-08-13 16:12:02
0.31, 0.49, 0.55,2024-08-13 16:12:03
0.31, 0.49, 0.55,2024-08-13 16:12:04
0.37, 0.49, 0.55,2024-08-13 16:12:05
0.24, 0.49, 0.61,2024-08-13 16:12:06
0.24, 0.49, 0.55,2024-08-13 16:12:07
0.31, 0.49, 0.55,2024-08-13 16:12:08
0.31, 0.49, 0.55,2024-08-13 16:12:09
0.31, 0.49, 0.55,2024-08-13 16:12:10
0.31, 0.55, 0.55,2024-08-13 16:12:11
0.31, 0.55, 0.55,2024-08-13 16:12:12
0.24, 0.31, 0.61,2024-08-13 16:12:13
-0.49, 0.12, 0.61,2024-08-13 16:12:14
-0.18, 0.06, 0.55,2024-08-13 16:12:15
0.24, 0.55, 0.55,2024-08-13 16:12:16
0.92, 0.92, 0.55,2024-08-13 16:12:17
1.04, 1.04, 0.55,2024-08-13 16:12:18
0.37, 0.61, 0.55,2024-08-13 16:12:19
-0.06, 0.24, 0.61,2024-08-13 16:12:20
0.24, 0.49, 0.55,2024-08-13 16:12:21
0.18, 0.37, 0.61,2024-08-13 16:12:22
0.24, 0.49, 0.55,2024-08-13 16:12:23
0.00, 0.49, 0.55,2024-08-13 16:12:24
0.31, 0.55, 0.55,2024-08-13 16:12:25
0.37, 0.49, 0.55,2024-08-13 16:12:26
0.31, 0.49, 0.61,2024-08-13 16:12:27
0.24, 0.49, 0.55,2024-08-13 16:12:28
0.31, 0.49, 0.55,2024-08-13 16:12:29
0.31, 0.55, 0.55,2024-08-13 16:12:30
0.31, 0.55, 0.61,2024-08-13 16:12:31
-1.10, -1.71, 0.18,2024-08-13 16:12:32
-0.06, 0.24, 0.67,2024-08-13 16:12:33
1.71, 2.14, 0.43,2024-08-13 16:12:34
-0.55, -0.31, 0.61,2024-08-13 16:12:35
0.43, 0.55, 0.55,2024-08-13 16:12:36
0.18, 0.37, 0.55,2024-08-13 16:12:37
0.00, 0.49, 0.55,2024-08-13 16:12:38
0.24, 0.43, 0.55,2024-08-13 16:12:39
0.49, 0.55, 0.55,2024-08-13 16:12:40
0.43, 0.73, 0.55,2024-08-13 16:12:41
0.31, 0.61, 0.55,2024-08-13 16:12:42
1.04, 1.22, 0.49,2024-08-13 16:12:43
0.24, 0.55, 0.61,2024-08-13 16:12:44
0.24, 0.43, 0.55,2024-08-13 16:12:45
0.31, 0.55, 0.55,2024-08-13 16:12:46
0.31, 0.49, 0.55,2024-08-13 16:12:47
0.31, 0.55, 0.55,2024-08-13 16:12:48
0.31, 0.55, 0.61,2024-08-13 16:12:49
0.31, 0.55, 0.55,2024-08-13 16:12:50
0.49, 0.61, 0.55,2024-08-13 16:12:51
0.31, 0.61, 0.61,2024-08-13 16:12:52
0.31, 0.55, 0.61,2024-08-13 16:12:53
0.31, 0.49, 0.55,2024-08-13 16:12:54
0.37, 0.49, 0.55,2024-08-13 16:12:55
0.37, 0.55, 0.61,2024-08-13 16:12:56
39.61, 17.03, 38.27,2024-08-13 16:12:57
0.43, 0.06, 0.67,2024-08-13 16:12:58
0.00, 0.37, 0.61,2024-08-13 16:12:59
0.31, 0.55, 0.55,2024-08-13 16:13:00
0.61, 0.49, 0.55,2024-08-13 16:13:01
-0.92, -0.43, 0.43,2024-08-13 16:13:02
0.24, 0.49, 0.55,2024-08-13 16:13:03
-0.12, 0.18, 0.55,2024-08-13 16:13:04
0.37, 0.49, 0.55,2024-08-13 16:13:05
0.06, 0.37, 0.55,2024-08-13 16:13:06
