Timestamp,x,y,z
2024-08-26 20:46:19,0.43, 0.43, 0.55
2024-08-26 20:46:21,0.55, 0.61, 0.49
2024-08-26 20:46:23,0.24, 0.73, 0.55
2024-08-26 20:46:26,0.55, 0.85, 0.55
2024-08-26 20:46:28,0.67, 0.49, 0.49
2024-08-26 20:46:30,0.24, 0.49, 0.49
2024-08-26 20:46:32,0.37, 0.37, 0.49
2024-08-26 20:46:34,0.49, 0.43, 0.49
2024-08-26 20:46:36,0.49, 0.49, 0.55
2024-08-26 20:46:38,0.37, 0.43, 0.55
2024-08-26 20:46:40,-0.12, 0.43, 0.49
2024-08-26 20:46:42,0.18, 0.43, 0.49
2024-08-26 20:46:44,0.43, 0.43, 0.55
2024-08-26 20:46:46,0.31, 0.43, 0.55
2024-08-26 20:46:48,0.79, 0.85, 0.55
2024-08-26 20:46:50,0.49, 0.61, 0.55
2024-08-26 20:46:52,0.31, 0.49, 0.49
2024-08-26 20:46:54,0.31, 0.49, 0.55
2024-08-26 20:46:56,91.13, 11.35, -114.32
2024-08-26 20:46:58,-16.54, 2.14, 22.22
2024-08-26 20:47:00,0.49, 0.49, 0.55
2024-08-26 20:47:02,0.61, 0.49, 0.49
2024-08-26 20:47:04,0.00, 0.43, 0.55
2024-08-26 20:47:06,-0.31, 0.43, 0.49
2024-08-26 20:47:08,0.31, 0.55, 0.49
2024-08-26 20:47:10,0.43, 0.49, 0.55
2024-08-26 20:47:13,0.06, 0.55, 0.55
2024-08-26 20:47:15,0.18, 0.55, 0.49
2024-08-26 20:47:17,0.31, 0.49, 0.49
2024-08-26 20:47:19,0.31, 0.49, 0.49
2024-08-26 20:47:21,-0.18, 0.49, 0.55
2024-08-26 20:47:23,0.31, 0.49, 0.49
2024-08-26 20:47:25,0.00, 0.55, 0.49
2024-08-26 20:47:27,-0.12, 0.55, 0.49
2024-08-26 20:47:29,0.24, 0.49, 0.55
2024-08-26 20:47:31,0.12, 0.49, 0.55
2024-08-26 20:47:33,0.24, 0.55, 0.49
2024-08-26 20:47:35,0.98, 0.49, 0.49
2024-08-26 20:47:37,0.31, 0.49, 0.55
2024-08-26 20:47:39,0.37, 0.55, 0.49
2024-08-26 20:47:41,0.31, 0.49, 0.55
2024-08-26 20:47:43,0.24, 0.49, 0.55
2024-08-26 20:47:45,0.24, 0.49, 0.55
2024-08-26 20:47:47,0.31, 0.49, 0.55
2024-08-26 20:47:49,0.18, 0.49, 0.55
2024-08-26 20:47:51,0.18, 0.49, 0.49
2024-08-26 20:47:53,0.31, 0.49, 0.55
2024-08-26 20:47:55,0.24, 0.49, 0.49
2024-08-26 20:47:57,0.18, 0.55, 0.49
2024-08-26 20:47:59,0.24, 0.49, 0.55
2024-08-26 20:48:01,0.31, 0.49, 0.49
2024-08-26 20:48:03,0.31, 0.49, 0.55
2024-08-26 20:48:06,0.31, 0.55, 0.49
2024-08-26 20:48:08,0.24, 0.49, 0.49
2024-08-26 20:48:10,0.31, 0.55, 0.49
2024-08-26 20:48:12,0.31, 0.55, 0.49
2024-08-26 20:48:14,0.61, 0.55, 0.55
2024-08-26 20:48:16,0.31, 0.49, 0.55
2024-08-26 20:48:18,0.12, 0.49, 0.55
2024-08-26 20:48:20,0.37, 0.49, 0.49
2024-08-26 20:48:22,0.12, 0.55, 0.49
2024-08-26 20:48:24,0.12, 0.55, 0.55
2024-08-26 20:48:26,0.31, 0.49, 0.55
2024-08-26 20:48:28,0.43, 0.55, 0.49
2024-08-26 20:48:30,0.24, 0.49, 0.55
2024-08-26 20:48:32,0.49, 0.61, 0.49
2024-08-26 20:48:35,0.31, 0.49, 0.55
2024-08-26 20:48:37,0.24, 0.49, 0.49
2024-08-26 20:48:39,0.55, 0.43, 0.49
2024-08-26 20:48:41,1.16, 0.43, 0.49
2024-08-26 20:48:43,0.43, 0.67, 0.55
2024-08-26 20:48:45,0.37, 0.49, 0.55
2024-08-26 20:48:47,0.67, 0.37, 0.49
